card_id	review_th	delta_t	rating	i	r_history	t_history	y	p
1471.0	8175.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
899.0	8177.0	48.0	3.0	3.0	2,4	0,14	1.0	0.9998999834060669
523.0	8178.0	29.0	2.0	8.0	3,2,1,2,4,4,3	0,42,64,11,2,4,13	1.0	0.9998999834060669
4766.0	8180.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
1387.0	8181.0	12.0	2.0	6.0	2,3,4,2,2	0,2,3,8,11	1.0	0.9998999834060669
1416.0	8184.0	34.0	2.0	2.0	3	0	1.0	0.9775476455688477
1521.0	8185.0	31.0	3.0	2.0	2	0	1.0	0.9381347298622131
957.0	8187.0	5.0	2.0	4.0	2,4,1	0,12,42	1.0	0.8679632544517517
539.0	8188.0	59.0	3.0	4.0	3,2,2	0,40,66	1.0	0.9998999834060669
1013.0	8190.0	47.0	4.0	3.0	2,4	0,12	1.0	0.9998999834060669
1039.0	8191.0	5.0	4.0	10.0	2,1,3,2,2,2,2,4,1	0,6,2,3,4,4,5,6,18	1.0	0.868051290512085
1999.0	8195.0	5.0	4.0	2.0	2	0	1.0	0.9422868490219116
5350.0	8197.0	6.0	4.0	2.0	2	0	1.0	0.9420455098152161
4852.0	8200.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
2006.0	8203.0	5.0	4.0	2.0	2	0	1.0	0.9422868490219116
4851.0	8206.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
4811.0	8208.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
1390.0	8210.0	36.0	4.0	2.0	3	0	1.0	0.9774852991104126
1179.0	8212.0	33.0	4.0	5.0	2,4,4,4	0,1,3,8	1.0	0.9998999834060669
4863.0	8214.0	31.0	4.0	2.0	3	0	1.0	0.977645993232727
1096.0	8218.0	5.0	4.0	9.0	2,2,3,2,2,3,2,1	0,1,2,3,7,6,10,14	1.0	0.8680779337882996
1028.0	8220.0	28.0	3.0	4.0	2,4,2	0,7,19	1.0	0.9998999834060669
4765.0	8222.0	35.0	4.0	2.0	3	0	1.0	0.9775161743164062
4830.0	8224.0	33.0	4.0	2.0	3	0	1.0	0.9775797724723816
4853.0	8225.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
895.0	8226.0	48.0	1.0	3.0	2,4	0,14	0.0	0.9998999834060669
5127.0	8227.0	7.0	2.0	5.0	2,1,1,2	0,5,1,5	1.0	0.9860188961029053
1165.0	8229.0	5.0	1.0	9.0	2,2,2,2,4,2,1,2	0,3,3,3,3,10,14,4	0.0	0.9759318232536316
5332.0	8230.0	7.0	4.0	2.0	3	0	1.0	0.9786780476570129
4873.0	8232.0	23.0	4.0	5.0	2,2,4,4	0,1,1,5	1.0	0.999681830406189
923.0	8233.0	47.0	2.0	3.0	2,4	0,14	1.0	0.9998999834060669
938.0	8235.0	19.0	4.0	5.0	3,1,4,4	0,33,2,5	1.0	0.9991386532783508
5381.0	8236.0	5.0	3.0	2.0	2	0	1.0	0.9422868490219116
895.0	8238.0	1.0	2.0	4.0	2,4,1	0,14,48	1.0	0.872403621673584
1165.0	8239.0	1.0	2.0	10.0	2,2,2,2,4,2,1,2,1	0,3,3,3,3,10,14,4,5	1.0	0.8724837303161621
5340.0	8240.0	7.0	4.0	2.0	2	0	1.0	0.9418125152587891
4699.0	8243.0	39.0	4.0	2.0	3	0	1.0	0.9773962497711182
4832.0	8245.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
2007.0	8246.0	6.0	4.0	2.0	2	0	1.0	0.9420455098152161
4836.0	8247.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
5057.0	8248.0	14.0	3.0	4.0	2,3,3	0,2,6	1.0	0.9998999834060669
4738.0	8250.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
1351.0	8251.0	38.0	4.0	2.0	3	0	1.0	0.9774253368377686
1505.0	8253.0	32.0	4.0	2.0	3	0	1.0	0.9776125550270081
1359.0	8254.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
1380.0	8256.0	37.0	4.0	2.0	3	0	1.0	0.9774550199508667
1452.0	8257.0	34.0	4.0	2.0	3	0	1.0	0.9775476455688477
